Date,Open,High,Low,Close
2015-01-01,100.09246144568942,100.40119132240113,99.69155531570256,100.0
2015-01-02,100.52617392187786,100.74359692725278,100.02678633871851,100.2435981752238
2015-01-05,99.83577307938164,100.11906298085425,99.2638765846838,99.54634521750747
2015-01-06,99.9734885871701,100.38416091205234,99.69036744157727,100.10067956640788
2015-01-07,100.9335083179321,101.19971820762363,100.52630817152287,100.79214521917658
2015-01-08,99.6039636385773,99.89254823421221,99.16663887954883,99.45479127505199
2015-01-09,98.49112652375105,99.01851611779301,98.05493722422669,98.5819246988717
2015-01-12,98.47704510720003,98.94499696610485,98.23239047220471,98.69978895023225
2015-01-13,98.23975707677145,99.07696418439971,97.67543945859026,98.51108796302137
2015-01-14,98.69301536725222,99.24389412848964,97.97909363644517,98.52905722595094
2015-01-15,97.96579537303624,98.30540045750034,97.63226571460518,97.97185018514574
2015-01-16,98.8936456169592,99.15490344578663,98.34588252929737,98.6063814619493
2015-01-19,99.15361779731636,99.53914197034466,98.7890126969881,99.1744602287704
2015-01-20,99.53468108860336,100.05652175786433,98.72973272568824,99.2500812944529
2015-01-21,100.01325651262205,100.49292261038678,99.58690633066779,100.06634611083577
2015-01-22,100.60143628375198,101.10665258616767,99.92015139166638,100.4244790219438
2015-01-23,99.6034450631448,100.21800488316718,99.23853674829152,99.85218528082167
2015-01-26,100.17362351785106,100.59080540292923,99.72325669863079,100.14029980416596
2015-01-27,99.68056677053946,99.92386491200911,99.25737865315342,99.50023664881644
2015-01-28,100.3991903991989,100.8685029822274,99.67588273469616,100.14400245038239
2015-01-29,100.33286629008326,100.53473832126626,99.9375652469035,100.13904730984709
2015-01-30,99.76162744087365,100.48713092763795,99.31529485306375,100.03955489499855
2015-02-02,99.51765564913048,100.12192874672095,98.98985427421985,99.59372393639636
2015-02-03,100.20774262541462,100.6466709818659,100.0413462471872,100.47982281063105
2015-02-04,100.16593637079964,100.81013173939752,99.75807082443569,100.40130778447956
2015-02-05,100.23608155005499,100.38397775747825,99.98301982575198,100.13076063440319
2015-02-06,100.04206370133835,100.50511621060262,99.45175777717256,99.91421854514138
2015-02-09,100.4820540172878,100.62498633219468,100.17460253877319,100.31730049738412
2015-02-10,100.82502763010011,101.39768345014971,100.03302546498252,100.6044283474822
2015-02-11,101.07076976766128,101.24128016373443,100.75551512592587,100.92578092006431
2015-02-12,101.44378000408136,102.03158596766674,100.67423393820135,101.2609806892119
2015-02-13,102.54305902301905,103.33587703244979,102.02989039730156,102.82131589224582
2015-02-16,102.3966216656348,102.96697812545115,101.99026988596398,102.55997808054617
2015-02-17,102.29831479482151,102.80091874472336,101.72131323539044,102.22354985613765
2015-02-18,101.89186642017444,102.39883696140642,101.167512002618,101.67339552570513
2015-02-19,101.8397093047922,102.72867689886692,101.2561539901285,102.14338150142538
2015-02-20,102.99372926516178,103.227207477155,102.75123195561764,102.98468967561372
2015-02-23,103.04294675301738,103.45000549509861,102.52682772302356,102.93345392689162
2015-02-24,102.07167464301837,102.51157967064766,101.92109381453098,102.3605726465397
2015-02-25,101.74179633030657,102.21748627407555,101.3266055081884,101.8020495688244
2015-02-26,102.54024780009404,102.73060931173251,102.10750255049587,102.29741325035107
2015-02-27,102.96779948736071,103.36162589325986,102.46846367623783,102.86188498532148
2015-03-02,103.12212400776059,103.68360053678339,102.7238506314827,103.28469927003846
2015-03-03,103.05317607664738,103.39633550282042,102.49307092243757,102.83550552182183
2015-03-04,102.93972056640214,103.40594485712636,102.56778300118353,103.03366784546238
2015-03-05,103.36748266539576,103.86567433693213,102.65166248631768,103.14880019209907
